"TITRE de l'article";"DATE";"ID";"Collégien";"lycéen";"étudiant";"jeune diplômé";"parent";"équipe éducative et professionnels accompagnants";"métier";"formation/Etudes";"emploi";"agenda-événement";"procédure d’orientation";"handicap";"national";"régional";"académique";"multi-site";"international""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Téléchargez le guide gratuit &quot;Entrer en 6e&#10; – Découvrir le collège&quot; rentrée 2017";"42522";"867155, 870780";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Téléchargez le guide gratuit &quot;Après la 3e&quot; rentrée 2017";"42675";"845309, 845413";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Préparer sa rentrée au collège";"";"867747, 871389";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"L&apos;inscription au collège";"42856";"860659, 862594";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Les principales dépenses à prévoir au collège";"42856";"852955, 856628";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Allocations, bourses : les aides financières au collège";"42856";"867271, 870899";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Organisation des études";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Au collège : ce qui change dans ma vie d&apos;élève (dossier)";"";"852956, 856629";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Bien démarrer votre rentrée au collège";"42856";"852957, 856630";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Méthode de travail et nouvelles matières au collège";"42887";"852958, 856631";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Les parcours éducatifs : apprendre autrement";"42856";"867986, 871655";"1";"";"";"";"2";"                   ";"";"";"";"";"1";"";"X";"";"";"";"";
"L&apos;ENT, le portail numérique du collège";"42856";"867142, 870768";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Au collège, qui fait quoi ?";"42856";"859215, 862930";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Les instances officielles (dossier)";"";"852972, 856648";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Le conseil de classe : mieux comprendre ce rendez-vous trimestriel";"42856";"852980, 856653";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Le conseil de discipline : un arbitrage très encadré";"42856";"695131, 831026";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Parents, élèves : tout savoir sur la commission d&apos;appel";"42856";" 867844, 611460";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Les heures de vie de classe (HVC)";"42856";"781305, 789680";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Classes du collège";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"La classe de 6e";"42887";"433912 , 437749";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"La classe de 5e";"42887";"852990, 856663";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"La classe de 4e";"42887";"852989, 856662";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"La classe de 3e";"42887";"852991, 856664";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Étudier les langues au collège (dossier)";"";"867147, 870773";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Les langues étrangères au collège";"42856";"852995, 856668";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les sections internationales au collège";"42856";"852997, 856670";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les lycées franco-allemands";"42856";"867090, 870711";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"X";
"Les sections bilingues langues régionales au collège";"42856";"867091, 870712";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les sections sportives de collège";"42856";"852994, 856667";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Les sections danse, musique, théâtre et arts plastiques au collège";"42856";"433920, 437757";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"";"";"";"";"";
"Stages au collège";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Découvrir l&apos;entreprise au collège : la 3e prépa-pro et le DIMA";"42856";"853002, 856675";"1";"";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";"";
"Rechercher un stage de 3e : mode d’emploi";"42644";"674940, 831499";"1";"";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";"";
"Réussir son rapport de stage : quelques consignes à suivre";"42491";"853000, 856673";"1";"";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";"";
"Diplôme au collège";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Le diplôme national du brevet (dossier)";"";"790379, 798830";"1";"";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";"";
"Présentation du brevet 2017";"42736";"878075, 881742";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Brevet 2017 : dates, épreuves, résultats";"42705";"896307, 900096";"1";"";"";"";"2";"2";"";"";"";"1";"2";"";"X";"";"";"";"";
"Les 3 épreuves écrites décryptées";"42705";"878077, 881743";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Le brevet : comment s&apos;y préparer ?";"42887";"878071, 782228";"1";"";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";"";
"Orientation au collège";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Quel métier voudriez-vous faire plus tard ?";"42491";"853010, 856683";"1";"";"";"";"2";"2";"2";"";"";"";"1";"";"X";"";"";"";"";
